Total Runtime,Cycle,Single step time,Charge or discharge,Current (A),Total voltage (V),Battery 1 (V),Battery 2 (V),Battery 3 (V),Battery 4 (V),Battery 5 (V),Battery 6 (V),Charging capacity (AH),Discharge capacity (AH),Temperature
00d 00:00:00,1.0,00d 00:00:00,CH,0.04,63.71,12.78,12.75,12.82,12.86,12.5,0.0,0.0,0.0,20.0
00d 00:05:00,1.0,00d 00:05:00,CH,4.54,70.03,14.05,14.0,14.05,14.07,13.86,0.0,0.483,0.0,20.1
00d 00:10:00,1.0,00d 00:10:00,CH,4.54,70.11,14.07,14.01,14.06,14.08,13.89,0.0,0.876,0.0,20.1
00d 00:15:00,1.0,00d 00:15:00,CH,4.08,70.19,14.08,14.02,14.07,14.09,13.93,0.0,1.234,0.0,20.2
00d 00:20:00,1.0,00d 00:20:00,CH,3.68,70.24,14.09,14.03,14.07,14.09,13.96,0.0,1.551,0.0,20.2
00d 00:25:00,1.0,00d 00:25:00,CH,3.33,70.32,14.1,14.04,14.09,14.1,13.99,0.0,1.839,0.0,20.0
00d 00:30:00,1.0,00d 00:30:00,CH,3.02,70.42,14.11,14.05,14.11,14.12,14.03,0.0,2.1,0.0,20.0
00d 00:35:00,1.0,00d 00:35:00,CH,2.73,70.45,14.11,14.06,14.11,14.12,14.05,0.0,2.336,0.0,20.1
00d 00:40:00,1.0,00d 00:40:00,CH,2.46,70.51,14.12,14.07,14.12,14.12,14.08,0.0,2.553,0.0,20.2
00d 00:45:00,1.0,00d 00:45:00,CH,2.28,70.56,14.13,14.08,14.12,14.13,14.1,0.0,2.752,0.0,20.2
00d 00:50:00,1.0,00d 00:50:00,CH,2.1,70.6,14.13,14.09,14.13,14.13,14.12,0.0,2.937,0.0,20.2
00d 00:55:00,1.0,00d 00:55:00,CH,1.94,70.61,14.13,14.09,14.13,14.13,14.13,0.0,3.107,0.0,20.3
00d 01:00:00,1.0,00d 01:00:00,CH,1.82,70.65,14.14,14.09,14.14,14.13,14.14,0.0,3.267,0.0,20.4
00d 01:05:00,1.0,00d 01:05:00,CH,1.71,70.65,14.14,14.09,14.14,14.14,14.15,0.0,3.416,0.0,20.5
00d 01:10:00,1.0,00d 01:10:00,CH,1.62,70.67,14.14,14.1,14.14,14.14,14.15,0.0,3.558,0.0,20.5
00d 01:15:00,1.0,00d 01:15:00,CH,1.53,70.69,14.14,14.1,14.15,14.14,14.16,0.0,3.691,0.0,20.5
00d 01:20:00,1.0,00d 01:20:00,CH,1.47,70.69,14.14,14.1,14.15,14.14,14.16,0.0,3.82,0.0,20.5
00d 01:25:00,1.0,00d 01:25:00,CH,1.42,70.7,14.15,14.1,14.15,14.14,14.16,0.0,3.942,0.0,20.5
00d 01:30:00,1.0,00d 01:30:00,CH,1.37,70.72,14.15,14.11,14.15,14.15,14.16,0.0,4.061,0.0,20.5
00d 01:35:00,1.0,00d 01:35:00,CH,1.32,70.72,14.15,14.11,14.15,14.15,14.17,0.0,4.175,0.0,20.5
00d 01:40:00,1.0,00d 01:40:00,CH,1.29,70.73,14.15,14.11,14.15,14.15,14.17,0.0,4.287,0.0,20.5
00d 01:45:00,1.0,00d 01:45:00,CH,1.26,70.75,14.15,14.12,14.16,14.15,14.17,0.0,4.394,0.0,20.5
00d 01:50:00,1.0,00d 01:50:00,CH,1.22,70.75,14.15,14.12,14.16,14.15,14.17,0.0,4.501,0.0,20.5
