Total Runtime,Cycle,Single step time,Charge or discharge,Current (A),Total voltage (V),Battery 1 (V),Battery 2 (V),Battery 3 (V),Battery 4 (V),Battery 5 (V),Battery 6 (V),Charging capacity (AH),Discharge capacity (AH),Temperature
00d 00:00:00,1.0,00d 00:00:00,DIS,7.69,57.31,11.54,11.76,11.39,11.45,11.05,0.0,0.0,0.002,18.8
00d 00:05:00,1.0,00d 00:05:00,DIS,8.39,57.31,11.54,11.76,11.39,11.45,11.05,0.12,0.0,0.706,18.8
00d 00:10:00,1.0,00d 00:10:00,DIS,8.4,56.91,11.47,11.69,11.33,11.37,10.93,0.12,0.0,1.411,18.8
00d 00:15:00,1.0,00d 00:15:00,DIS,8.47,56.44,11.42,11.63,11.29,11.26,10.73,0.11,0.0,2.115,18.7
00d 00:20:00,1.0,00d 00:20:00,DIS,8.47,55.61,11.37,11.55,11.23,11.15,10.2,0.11,0.0,2.819,18.7
00d 00:25:00,1.0,00d 00:25:00,DIS,8.45,53.4,11.36,11.47,11.17,11.0,10.2,0.08,0.0,3.523,18.6
00d 00:28:20,1.0,00d 00:28:20,DIS,8.4,53.4,11.36,11.47,11.17,11.0,10.2,0.07,0.0,3.99,18.6
00d 00:28:20,1.0,00d 00:28:20,DIS,0.59,54.66,11.63,11.58,11.49,11.22,10.2,0.0,0.0,3.99,18.6
00d 00:28:20,2.0,00d 00:00:00,CH,0.59,55.02,11.68,11.65,11.55,11.26,10.2,0.0,0.0,0.0,18.6
00d 00:33:20,2.0,00d 00:05:00,CH,8.21,60.57,12.33,12.26,12.19,11.95,11.84,0.0,0.687,0.0,18.6
00d 00:38:20,2.0,00d 00:10:00,CH,8.21,60.93,12.4,12.32,12.26,12.02,11.93,0.0,1.371,0.0,18.5
00d 00:43:20,2.0,00d 00:15:00,CH,8.2,61.2,12.45,12.38,12.3,12.08,11.99,0.0,2.053,0.0,18.3
00d 00:48:20,2.0,00d 00:20:00,CH,8.18,61.5,12.5,12.43,12.37,12.14,12.06,0.0,2.735,0.0,18.3
00d 00:53:20,2.0,00d 00:25:00,CH,8.14,61.75,12.55,12.48,12.42,12.19,12.11,0.0,3.418,0.0,18.4
00d 00:58:20,2.0,00d 00:30:00,CH,8.13,62.03,12.61,12.52,12.47,12.25,12.18,0.0,4.1,0.0,18.4
00d 01:03:20,2.0,00d 00:35:00,CH,8.13,62.28,12.65,12.58,12.52,12.31,12.22,0.0,4.78,0.0,18.4
00d 01:08:20,2.0,00d 00:40:00,CH,8.13,62.55,12.71,12.63,12.57,12.36,12.28,0.0,5.459,0.0,18.4
00d 01:13:20,2.0,00d 00:45:00,CH,8.13,62.79,12.76,12.67,12.62,12.41,12.33,0.0,6.138,0.0,18.5
00d 01:18:20,2.0,00d 00:50:00,CH,8.12,63.03,12.8,12.72,12.67,12.46,12.38,0.0,6.814,0.0,18.5
00d 01:23:20,2.0,00d 00:55:00,CH,8.12,63.29,12.86,12.77,12.72,12.5,12.44,0.0,7.491,0.0,18.5
00d 01:28:20,2.0,00d 01:00:00,CH,8.12,63.52,12.9,12.82,12.77,12.54,12.49,0.0,8.168,0.0,18.4
00d 01:33:20,2.0,00d 01:05:00,CH,8.12,63.72,12.94,12.86,12.81,12.59,12.52,0.0,8.845,0.0,18.4
00d 01:38:20,2.0,00d 01:10:00,CH,8.11,63.92,12.96,12.89,12.86,12.64,12.57,0.0,9.521,0.0,18.4
00d 01:43:20,2.0,00d 01:15:00,CH,8.08,64.17,13.03,12.94,12.9,12.68,12.62,0.0,10.196,0.0,18.4
00d 01:48:20,2.0,00d 01:20:00,CH,8.07,64.36,13.07,12.98,12.93,12.72,12.66,0.0,10.87,0.0,18.5
00d 01:53:20,2.0,00d 01:25:00,CH,8.07,64.57,13.11,13.02,12.97,12.77,12.7,0.0,11.543,0.0,18.5
00d 01:58:20,2.0,00d 01:30:00,CH,8.07,64.74,13.16,13.06,13.01,12.81,12.7,0.0,12.217,0.0,18.5
00d 02:03:20,2.0,00d 01:35:00,CH,8.06,65.01,13.2,13.11,13.05,12.85,12.8,0.0,12.892,0.0,18.5
00d 02:08:20,2.0,00d 01:40:00,CH,8.05,65.15,13.25,13.14,13.09,12.87,12.8,0.0,13.565,0.0,18.7
00d 02:13:20,2.0,00d 01:45:00,CH,8.05,65.43,13.3,13.19,13.14,12.92,12.88,0.0,14.239,0.0,19.4
00d 02:18:20,2.0,00d 01:50:00,CH,8.05,65.56,13.33,13.22,13.16,12.94,12.91,0.0,14.911,0.0,19.8
00d 02:23:20,2.0,00d 01:55:00,CH,8.04,65.8,13.37,13.27,13.22,12.99,12.95,0.0,15.582,0.0,19.9
00d 02:28:20,2.0,00d 02:00:00,CH,7.97,65.96,13.42,13.3,13.25,13.02,12.97,0.0,16.252,0.0,20.0
00d 02:33:20,2.0,00d 02:05:00,CH,7.97,66.21,13.46,13.34,13.31,13.07,13.03,0.0,16.92,0.0,20.3
00d 02:38:20,2.0,00d 02:10:00,CH,8.0,66.36,13.5,13.38,13.33,13.1,13.05,0.0,17.588,0.0,20.3
00d 02:43:20,2.0,00d 02:15:00,CH,8.0,66.66,13.57,13.44,13.39,13.15,13.11,0.0,18.256,0.0,20.1
00d 02:48:20,2.0,00d 02:20:00,CH,8.0,66.86,13.62,13.48,13.43,13.19,13.14,0.0,18.924,0.0,20.1
